146,47:9.910N,15:19.532E,390.0,,Friesach,
147,47:3.033N,16:4.800E,278.0,,Fuersten,
148,47:33.101N,12:26.623E,642.0,,Furth Ch,
149,46:33.550N,13:45.800E,518.0,,Gail Ab,
150,46:43.083N,12:58.033E,984.0,,Gailberg,
151,46:34.250N,13:41.416E,558.0,,Gailnitz,
152,46:36.383N,13:19.333E,684.0,,Gailtal,
153,47:29.450N,14:33.033E,724.0,,Gaishorn,
154,47:1.217N,15:23.467E,522.0,,Gedersbe,
155,46:16.667N,13:8.833E,500.0,,Gemona D,
156,46:17.667N,13:7.833E,226.0,,Gemonada,
157,46:15.833N,13:7.450E,184.0,,Gemonaro,
158,46:45.577N,13:16.759E,578.0,,Gerlamoo,
159,46:41.700N,13:54.866E,1906.0,,Gerlitze,
160,47:12.950N,15:3.183E,1584.0,,Gleinalm,
161,47:17.683N,15:4.633E,768.0,,Gleinalm,
162,47:18.867N,12:45.317E,1584.0,,Glockner,
163,47:40.617N,15:57.667E,428.0,,Gloggnit,
164,46:54.450N,13:32.050E,744.0,,Gmuend K,
165,46:46.516N,13:57.866E,974.0,,Gnesau C,
166,47:21.683N,15:5.633E,552.0,,Goess Lo,
167,47:26.917N,14:53.983E,2188.0,,Goesseck,
168,47:38.383N,13:54.233E,726.0,,Goessl G,
169,47:46.773N,14:54.560E,576.0,,Goestlin,
170,46:47.941N,14:9.004E,784.0,,Goggau C,
171,46:29.100N,14:3.750E,1528.0,,Golica K,
172,47:39.183N,15:18.350E,962.0,,Gollrad,
173,45:55.400N,13:32.500E,50.0,,GOMOS,
174,46:6.516N,14:9.533E,394.0,,Gorenja,
175,46:40.767N,15:59.583E,206.0,,Gornjara,
176,46:17.700N,14:48.333E,440.0,,Gornjigr,
177,47:34.647N,13:31.822E,728.0,,Gosau Ch,
178,46:20.400N,14:20.016E,894.0,,Gozd Cer,
179,46:28.833N,13:51.483E,726.0,,Gozd Mar,
180,46:11.300N,15:9.750E,662.0,,Gozdnik,
181,47:41.054N,16:0.144E,408.0,,Grafenba,
182,47:18.533N,13:16.450E,1702.0,,Grafenbe,
183,47:29.850N,12:47.717E,676.0,,Gramler,
184,47:29.930N,12:47.453E,674.0,,Gramler,
185,47:1.317N,15:23.950E,376.0,,Graz Str,
186,46:59.883N,15:24.583E,344.0,,Graz Wes,
187,46:44.933N,13:12.167E,588.0,,Greifenb,
188,47:27.267N,12:40.250E,954.0,,Griessen,
189,47:19.550N,13:20.800E,1842.0,,Griessen,
190,47:27.310N,12:39.282E,970.0,,Griessen,
191,47:36.231N,16:7.294E,416.0,,Grimmens,
192,47:36.700N,16:7.750E,440.0,,Grimmens,
193,47:29.767N,13:57.083E,764.0,,Grimming,
194,47:26.733N,13:54.067E,772.0,,Groebmin,
195,47:41.487N,15:47.206E,620.0,,Grossau,
196,46:47.233N,14:58.266E,2120.0,,Grosser,
197,45:57.317N,14:39.483E,344.0,,Grosuplj,
198,45:57.566N,14:39.933E,348.0,,Grosuplj,
199,47:3.351N,15:21.576E,456.0,,Grottenh,
200,47:37.400N,13:50.983E,724.0,,Grundlse,
201,47:38.833N,15:6.688E,634.0,,Gschoede,
202,47:35.483N,14:38.017E,574.0,,Gstatter,
203,47:34.450N,15:47.450E,1766.0,,Guenther,
204,47:23.838N,14:0.903E,2196.0,,Gumpenec,
205,47:34.692N,12:42.055E,626.0,,Gumping,
206,46:52.483N,14:17.583E,668.0,,Gurk Dom,
207,47:43.454N,15:16.346E,726.0,,Gusswerk,
208,47:44.467N,15:18.583E,750.0,,Gusswerk,
209,47:46.866N,14:9.700E,502.0,,Habach C,
210,47:1.667N,13:5.400E,2430.0,,Hagener,
211,47:37.664N,12:27.812E,612.0,,Hagertal,
212,47:38.750N,14:28.750E,2132.0,,Haller M,
213,47:33.800N,13:38.917E,574.0,,Hallstat,
214,47:45.919N,15:20.959E,790.0,,Halltal,
215,45:53.000N,15:40.417E,136.0,,Harmica,
216,47:24.583N,13:46.083E,768.0,,Haus Enn,
217,47:25.060N,13:46.801E,700.0,,Haus-Enn,
218,47:22.933N,13:15.917E,1790.0,,Heinrich,
219,46:37.699N,13:23.059E,588.0,,Hermagor,
220,47:41.350N,15:41.350E,1990.0,,Heukuppe,
221,47:36.417N,14:44.683E,496.0,,Hieflau,
222,46:45.333N,14:1.766E,688.0,,Himmelbe,
223,47:23.020N,12:36.544E,1024.0,,Hintergl,
224,47:40.444N,14:7.141E,638.0,,Hinterst,
225,47:38.695N,14:56.128E,778.0,,Hinterwi,
226,47:45.700N,12:33.550E,1638.0,,Hochfell,
227,47:28.276N,12:37.186E,962.0,,Hochfilz,
228,47:28.083N,12:37.917E,976.0,,Hochfilz,
229,47:45.033N,12:30.950E,1720.0,,Hochgern,
230,47:45.017N,12:29.883E,1452.0,,Hochgern,
231,47:15.878N,13:45.657E,2752.0,,Hochgoll,
232,47:22.933N,13:16.417E,1796.0,,Hochgrue,
233,47:42.633N,14:54.083E,1774.0,,Hochkar,
234,46:49.300N,12:42.033E,2014.0,,Hochstei,
235,47:4.883N,12:50.567E,2540.0,,Hochtor,
